warning: `VIRTUAL_ENV=d:\Revi\Research Projects\.venv` does not match the project environment path `.venv` and will be ignored
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 3, 'n_kv_head': 1, 'n_embd': 192, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,572,864
  value_embeds            : 0
  lm_head                 : 1,572,864
  transformer_matrices    : 294,912
  scalars                 : 6
  total                   : 3,440,646
Estimated FLOPs per token: 1.297613e+07
Scaling AdamW LRs by 1/sqrt(192/768) = 1.000000
Time budget: 360s (extended from 300s for current hardware)
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010477 | lrm: 0.00 | dt: 4854ms | tok/sec: 421 | mfu: 0.1% | epoch: 1 | remaining: 360s    
step 00001 (0.0%) | loss: 9.010453 | lrm: 0.00 | dt: 109ms | tok/sec: 18,713 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00002 (0.0%) | loss: 9.010479 | lrm: 0.00 | dt: 110ms | tok/sec: 18,687 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00003 (0.0%) | loss: 9.010546 | lrm: 0.00 | dt: 90ms | tok/sec: 22,643 | mfu: 6.4% | epoch: 1 | remaining: 360s    
step 00004 (0.0%) | loss: 9.010525 | lrm: 0.00 | dt: 87ms | tok/sec: 23,484 | mfu: 6.6% | epoch: 1 | remaining: 360s    
step 00005 (0.0%) | loss: 9.010531 | lrm: 0.00 | dt: 87ms | tok/sec: 23,542 | mfu: 6.6% | epoch: 1 | remaining: 360s    
step 00006 (0.0%) | loss: 9.010643 | lrm: 0.00 | dt: 86ms | tok/sec: 23,920 | mfu: 6.7% | epoch: 1 | remaining: 360s    
step 00007 (0.0%) | loss: 9.010720 | lrm: 0.00 | dt: 86ms | tok/sec: 23,929 | mfu: 6.8% | epoch: 1 | remaining: 360s    
step 00008 (0.0%) | loss: 9.010694 | lrm: 0.00 | dt: 97ms | tok/sec: 21,096 | mfu: 6.0% | epoch: 1 | remaining: 360s    
step 00009 (0.0%) | loss: 9.010657 | lrm: 0.00 | dt: 90ms | tok/sec: 22,865 | mfu: 6.5% | epoch: 1 | remaining: 360s    
step 00010 (0.0%) | loss: 9.010726 | lrm: 0.00 | dt: 88ms | tok/sec: 23,244 | mfu: 6.6% | epoch: 1 | remaining: 360s    
step 00011 (0.0%) | loss: 9.010721 | lrm: 0.00 | dt: 90ms | tok/sec: 22,754 | mfu: 6.4% | epoch: 1 | remaining: 360s    
step 00012 (0.0%) | loss: 9.010722 | lrm: 0.05 | dt: 93ms | tok/sec: 21,941 | mfu: 6.2% | epoch: 1 | remaining: 360s    
step 00013 (0.1%) | loss: 9.010017 | lrm: 0.10 | dt: 89ms | tok/sec: 22,954 | mfu: 6.5% | epoch: 1 | remaining: 360s    
step 00014 (0.1%) | loss: 9.008094 | lrm: 0.15 | dt: 89ms | tok/sec: 23,064 | mfu: 6.5% | epoch: 1 | remaining: 360s    
step 00015 (0.1%) | loss: 9.004471 | lrm: 0.20 | dt: 89ms | tok/sec: 22,971 | mfu: 6.5% | epoch: 1 | remaining: 360s    
step 00016 (0.1%) | loss: 8.997833 | lrm: 0.25 | dt: 86ms | tok/sec: 23,918 | mfu: 6.7% | epoch: 1 | remaining: 359s    
step 00017 (0.1%) | loss: 8.987098 | lrm: 0.30 | dt: 93ms | tok/sec: 21,986 | mfu: 6.2% | epoch: 1 | remaining: 359s    
step 00018 (0.2%) | loss: 8.969996 | lrm: 0.35 | dt: 89ms | tok/sec: 22,957 | mfu: 6.5% | epoch: 1 | remaining: 359s    
step 00019 (0.2%) | loss: 8.941620 | lrm: 0.40 | dt: 88ms | tok/sec: 23,376 | mfu: 6.6% | epoch: 1 | remaining: 359s    
step 00020 (0.2%) | loss: 8.900174 | lrm: 0.45 | dt: 89ms | tok/sec: 23,012 | mfu: 6.5% | epoch: 1 | remaining: 359s    
step 00021 (0.2%) | loss: 8.849250 | lrm: 0.50 | dt: 90ms | tok/sec: 22,801 | mfu: 6.4% | epoch: 1 | remaining: 359s    
step 00022 (0.3%) | loss: 8.792823 | lrm: 0.55 | dt: 89ms | tok/sec: 23,010 | mfu: 6.5% | epoch: 1 | remaining: 359s    
step 00023 (0.3%) | loss: 8.728036 | lrm: 0.60 | dt: 89ms | tok/sec: 23,015 | mfu: 6.5% | epoch: 1 | remaining: 359s    
step 00024 (0.3%) | loss: 8.651551 | lrm: 0.65 | dt: 89ms | tok/sec: 22,998 | mfu: 6.5% | epoch: 1 | remaining: 359s    
step 00025 (0.3%) | loss: 8.547857 | lrm: 0.70 | dt: 89ms | tok/sec: 23,085 | mfu: 6.5% | epoch: 1 | remaining: 359s    
step 00026 (0.4%) | loss: 8.469669 | lrm: 0.74 | dt: 86ms | tok/sec: 23,737 | mfu: 6.7% | epoch: 1 | remaining: 359s    
step 00027 (0.4%) | loss: 8.365321 | lrm: 0.79 | dt: 87ms | tok/sec: 23,594 | mfu: 6.7% | epoch: 1 | remaining: 358s    
step 00028 (0.4%) | loss: 8.286686 | lrm: 0.84 | dt: 86ms | tok/sec: 23,879 | mfu: 6.7% | epoch: 1 | remaining: 358s    
step 00029 (0.4%) | loss: 8.218647 | lrm: 0.89 | dt: 88ms | tok/sec: 23,361 | mfu: 6.6% | epoch: 1 | remaining: 358s    
step 00030 (0.5%) | loss: 8.135602 | lrm: 0.94 | dt: 87ms | tok/sec: 23,451 | mfu: 6.6% | epoch: 1 | remaining: 358s    
step 00031 (0.5%) | loss: 8.049812 | lrm: 0.99 | dt: 88ms | tok/sec: 23,198 | mfu: 6.5% | epoch: 1 | remaining: 358s    
step 00032 (0.5%) | loss: 7.960435 | lrm: 1.00 | dt: 86ms | tok/sec: 23,676 | mfu: 6.7% | epoch: 1 | remaining: 358s    
step 00033 (0.5%) | loss: 7.899742 | lrm: 1.00 | dt: 86ms | tok/sec: 23,692 | mfu: 6.7% | epoch: 1 | remaining: 358s    
step 00034 (0.6%) | loss: 7.814768 | lrm: 1.00 | dt: 87ms | tok/sec: 23,448 | mfu: 6.6% | epoch: 1 | remaining: 358s    
