warning: `VIRTUAL_ENV=d:\Revi\Research Projects\.venv` does not match the project environment path `.venv` and will be ignored
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 10, 'n_kv_head': 1, 'n_embd': 640, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 0
  lm_head                 : 5,242,880
  transformer_matrices    : 15,564,800
  scalars                 : 20
  total                   : 26,050,580
Estimated FLOPs per token: 1.445069e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.012065 | lrm: 0.00 | dt: 5931ms | tok/sec: 345 | mfu: 1.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011950 | lrm: 0.00 | dt: 1245ms | tok/sec: 1,645 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011543 | lrm: 0.00 | dt: 1228ms | tok/sec: 1,667 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011477 | lrm: 0.00 | dt: 1259ms | tok/sec: 1,627 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011570 | lrm: 0.00 | dt: 1245ms | tok/sec: 1,644 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011425 | lrm: 0.00 | dt: 1246ms | tok/sec: 1,644 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011465 | lrm: 0.00 | dt: 1244ms | tok/sec: 1,646 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011418 | lrm: 0.00 | dt: 1258ms | tok/sec: 1,627 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011508 | lrm: 0.00 | dt: 1254ms | tok/sec: 1,633 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011385 | lrm: 0.00 | dt: 1255ms | tok/sec: 1,631 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011353 | lrm: 0.00 | dt: 1242ms | tok/sec: 1,649 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011261 | lrm: 0.00 | dt: 1253ms | tok/sec: 1,634 | mfu: 5.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 9.011213 | lrm: 0.84 | dt: 1251ms | tok/sec: 1,637 | mfu: 5.1% | epoch: 1 | remaining: 297s    
step 00013 (0.8%) | loss: 8.982540 | lrm: 1.00 | dt: 1259ms | tok/sec: 1,626 | mfu: 5.1% | epoch: 1 | remaining: 296s    
step 00014 (1.3%) | loss: 8.912603 | lrm: 1.00 | dt: 1240ms | tok/sec: 1,651 | mfu: 5.2% | epoch: 1 | remaining: 295s    
step 00015 (1.7%) | loss: 8.813617 | lrm: 1.00 | dt: 1256ms | tok/sec: 1,630 | mfu: 5.1% | epoch: 1 | remaining: 294s    
step 00016 (2.1%) | loss: 8.727053 | lrm: 1.00 | dt: 1236ms | tok/sec: 1,656 | mfu: 5.2% | epoch: 1 | remaining: 293s    
step 00017 (2.5%) | loss: 8.660876 | lrm: 1.00 | dt: 1272ms | tok/sec: 1,609 | mfu: 5.1% | epoch: 1 | remaining: 291s    
step 00018 (2.9%) | loss: 8.614038 | lrm: 1.00 | dt: 1247ms | tok/sec: 1,642 | mfu: 5.2% | epoch: 1 | remaining: 290s    
step 00019 (3.3%) | loss: 8.546536 | lrm: 1.00 | dt: 1243ms | tok/sec: 1,647 | mfu: 5.2% | epoch: 1 | remaining: 289s    
step 00020 (3.8%) | loss: 8.477344 | lrm: 1.00 | dt: 1255ms | tok/sec: 1,632 | mfu: 5.1% | epoch: 1 | remaining: 287s    
step 00021 (4.2%) | loss: 8.403459 | lrm: 1.00 | dt: 1253ms | tok/sec: 1,634 | mfu: 5.1% | epoch: 1 | remaining: 286s    
step 00022 (4.6%) | loss: 8.343433 | lrm: 1.00 | dt: 1247ms | tok/sec: 1,642 | mfu: 5.2% | epoch: 1 | remaining: 285s    
step 00023 (5.0%) | loss: 9.260277 | lrm: 1.00 | dt: 1246ms | tok/sec: 1,643 | mfu: 5.2% | epoch: 1 | remaining: 284s    
step 00024 (5.4%) | loss: 9.967308 | lrm: 0.99 | dt: 1255ms | tok/sec: 1,631 | mfu: 5.1% | epoch: 1 | remaining: 282s    
step 00025 (5.8%) | loss: 10.461846 | lrm: 0.99 | dt: 1256ms | tok/sec: 1,630 | mfu: 5.1% | epoch: 1 | remaining: 281s    
step 00026 (6.3%) | loss: 10.721082 | lrm: 0.99 | dt: 1235ms | tok/sec: 1,658 | mfu: 5.2% | epoch: 1 | remaining: 280s    
step 00027 (6.7%) | loss: 10.726279 | lrm: 0.99 | dt: 1255ms | tok/sec: 1,631 | mfu: 5.1% | epoch: 1 | remaining: 279s    
step 00028 (7.1%) | loss: 10.582125 | lrm: 0.99 | dt: 1248ms | tok/sec: 1,641 | mfu: 5.2% | epoch: 1 | remaining: 277s    
step 00029 (7.5%) | loss: 10.487857 | lrm: 0.99 | dt: 1261ms | tok/sec: 1,624 | mfu: 5.1% | epoch: 1 | remaining: 276s    
step 00030 (7.9%) | loss: 10.365006 | lrm: 0.99 | dt: 1242ms | tok/sec: 1,648 | mfu: 5.2% | epoch: 1 | remaining: 275s    
step 00031 (8.3%) | loss: 10.201995 | lrm: 0.99 | dt: 1257ms | tok/sec: 1,629 | mfu: 5.1% | epoch: 1 | remaining: 274s    
step 00032 (8.8%) | loss: 10.016797 | lrm: 0.99 | dt: 1257ms | tok/sec: 1,629 | mfu: 5.1% | epoch: 1 | remaining: 272s    
