warning: `VIRTUAL_ENV=d:\Revi\Research Projects\.venv` does not match the project environment path `.venv` and will be ignored
W0419 12:59:27.576000 28532 .venv\Lib\site-packages\torch\_inductor\utils.py:1613] [1/1] Not enough SMs to use max_autotune_gemm mode
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 9, 'n_kv_head': 1, 'n_embd': 576, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,718,592
  value_embeds            : 0
  lm_head                 : 4,718,592
  transformer_matrices    : 10,616,832
  scalars                 : 18
  total                   : 20,054,034
Estimated FLOPs per token: 1.079378e+08
Scaling AdamW LRs by 1/sqrt(576/768) = 1.000000
Time budget: 360s (extended from 300s for current hardware)
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010979 | lrm: 0.00 | dt: 13772ms | tok/sec: 148 | mfu: 0.3% | epoch: 1 | remaining: 360s    
step 00001 (0.0%) | loss: 9.010918 | lrm: 0.00 | dt: 892ms | tok/sec: 2,295 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00002 (0.0%) | loss: 9.010958 | lrm: 0.00 | dt: 888ms | tok/sec: 2,305 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00003 (0.0%) | loss: 9.011101 | lrm: 0.00 | dt: 884ms | tok/sec: 2,316 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00004 (0.0%) | loss: 9.010822 | lrm: 0.00 | dt: 894ms | tok/sec: 2,290 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00005 (0.0%) | loss: 9.010604 | lrm: 0.00 | dt: 907ms | tok/sec: 2,258 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00006 (0.0%) | loss: 9.010598 | lrm: 0.00 | dt: 889ms | tok/sec: 2,304 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00007 (0.0%) | loss: 9.010555 | lrm: 0.00 | dt: 894ms | tok/sec: 2,291 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00008 (0.0%) | loss: 9.010800 | lrm: 0.00 | dt: 889ms | tok/sec: 2,304 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00009 (0.0%) | loss: 9.011002 | lrm: 0.00 | dt: 889ms | tok/sec: 2,302 | mfu: 5.4% | epoch: 1 | remaining: 360s    
step 00010 (0.0%) | loss: 9.011006 | lrm: 0.00 | dt: 902ms | tok/sec: 2,271 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00011 (0.0%) | loss: 9.011078 | lrm: 0.00 | dt: 902ms | tok/sec: 2,271 | mfu: 5.3% | epoch: 1 | remaining: 359s    
step 00012 (0.3%) | loss: 9.010999 | lrm: 0.50 | dt: 894ms | tok/sec: 2,291 | mfu: 5.4% | epoch: 1 | remaining: 358s    
step 00013 (0.5%) | loss: 8.992880 | lrm: 1.00 | dt: 894ms | tok/sec: 2,290 | mfu: 5.4% | epoch: 1 | remaining: 357s    
step 00014 (0.7%) | loss: 8.930209 | lrm: 1.00 | dt: 904ms | tok/sec: 2,266 | mfu: 5.3% | epoch: 1 | remaining: 356s    
step 00015 (1.0%) | loss: 8.825634 | lrm: 1.00 | dt: 880ms | tok/sec: 2,327 | mfu: 5.5% | epoch: 1 | remaining: 356s    
step 00016 (1.2%) | loss: 8.723669 | lrm: 1.00 | dt: 887ms | tok/sec: 2,309 | mfu: 5.4% | epoch: 1 | remaining: 355s    
step 00017 (1.5%) | loss: 8.646779 | lrm: 1.00 | dt: 897ms | tok/sec: 2,283 | mfu: 5.4% | epoch: 1 | remaining: 354s    
step 00018 (1.7%) | loss: 8.578030 | lrm: 1.00 | dt: 887ms | tok/sec: 2,310 | mfu: 5.4% | epoch: 1 | remaining: 353s    
step 00019 (2.0%) | loss: 8.467999 | lrm: 1.00 | dt: 886ms | tok/sec: 2,311 | mfu: 5.4% | epoch: 1 | remaining: 352s    
step 00020 (2.2%) | loss: 9.649154 | lrm: 1.00 | dt: 872ms | tok/sec: 2,348 | mfu: 5.5% | epoch: 1 | remaining: 351s    
step 00021 (2.5%) | loss: 10.280965 | lrm: 1.00 | dt: 889ms | tok/sec: 2,304 | mfu: 5.4% | epoch: 1 | remaining: 350s    
step 00022 (2.7%) | loss: 10.082097 | lrm: 1.00 | dt: 895ms | tok/sec: 2,289 | mfu: 5.4% | epoch: 1 | remaining: 349s    
step 00023 (3.0%) | loss: 9.906246 | lrm: 1.00 | dt: 889ms | tok/sec: 2,302 | mfu: 5.4% | epoch: 1 | remaining: 348s    
step 00024 (3.2%) | loss: 9.752954 | lrm: 1.00 | dt: 875ms | tok/sec: 2,339 | mfu: 5.5% | epoch: 1 | remaining: 348s    
step 00025 (3.5%) | loss: 9.582481 | lrm: 1.00 | dt: 890ms | tok/sec: 2,301 | mfu: 5.4% | epoch: 1 | remaining: 347s    
step 00026 (3.7%) | loss: 9.422398 | lrm: 1.00 | dt: 888ms | tok/sec: 2,306 | mfu: 5.4% | epoch: 1 | remaining: 346s    
step 00027 (4.0%) | loss: 9.303771 | lrm: 1.00 | dt: 883ms | tok/sec: 2,318 | mfu: 5.4% | epoch: 1 | remaining: 345s    
step 00028 (4.2%) | loss: 9.161907 | lrm: 1.00 | dt: 894ms | tok/sec: 2,291 | mfu: 5.4% | epoch: 1 | remaining: 344s    
step 00029 (4.4%) | loss: 9.024923 | lrm: 1.00 | dt: 891ms | tok/sec: 2,298 | mfu: 5.4% | epoch: 1 | remaining: 343s    
step 00030 (4.7%) | loss: 8.885009 | lrm: 1.00 | dt: 879ms | tok/sec: 2,328 | mfu: 5.5% | epoch: 1 | remaining: 342s    
step 00031 (4.9%) | loss: 8.728628 | lrm: 1.00 | dt: 895ms | tok/sec: 2,289 | mfu: 5.4% | epoch: 1 | remaining: 341s    
step 00032 (5.2%) | loss: 8.577359 | lrm: 1.00 | dt: 886ms | tok/sec: 2,311 | mfu: 5.4% | epoch: 1 | remaining: 340s    
step 00033 (5.4%) | loss: 8.445026 | lrm: 0.99 | dt: 887ms | tok/sec: 2,307 | mfu: 5.4% | epoch: 1 | remaining: 340s    
step 00034 (5.7%) | loss: 8.312097 | lrm: 0.99 | dt: 897ms | tok/sec: 2,281 | mfu: 5.4% | epoch: 1 | remaining: 339s    
step 00035 (5.9%) | loss: 8.226011 | lrm: 0.99 | dt: 873ms | tok/sec: 2,345 | mfu: 5.5% | epoch: 1 | remaining: 338s    
step 00036 (6.2%) | loss: 8.151432 | lrm: 0.99 | dt: 895ms | tok/sec: 2,289 | mfu: 5.4% | epoch: 1 | remaining: 337s    
step 00037 (6.4%) | loss: 8.088444 | lrm: 0.99 | dt: 896ms | tok/sec: 2,286 | mfu: 5.4% | epoch: 1 | remaining: 336s    
